"","m","f_inf","cv","not_binom_dist","p_naive"
"1",0.1,0.25,1.3,100,0.249517777777778
"2",0.2,0.25,1.3,100,0.249778888888889
"3",0.3,0.25,1.3,100,0.249168333333333
"4",0.4,0.25,1.3,100,0.250406111111111
"5",0.5,0.25,1.3,100,0.250199444444444
"6",0.6,0.25,1.3,100,0.251167222222222
"7",0.7,0.25,1.3,100,0.250341666666667
"8",0.8,0.25,1.3,100,0.250065555555556
"9",0.9,0.25,1.3,100,0.249732777777778
"10",1,0.25,1.3,100,0.250924444444444
"11",1.1,0.25,1.3,100,0.249628333333333
"12",1.2,0.25,1.3,100,0.250222777777778
"13",1.3,0.25,1.3,100,0.250117222222222
"14",1.4,0.25,1.3,100,0.250020555555556
"15",1.5,0.25,1.3,100,0.249736666666667
"16",1.6,0.25,1.3,100,0.250205555555556
"17",1.7,0.25,1.3,100,0.248987777777778
"18",1.8,0.25,1.3,99.8,0.249445555555556
"19",1.9,0.25,1.3,99.9,0.249953888888889
"20",2,0.25,1.3,99.7,0.249621111111111
"21",2.1,0.25,1.3,99.3,0.250344444444444
"22",2.2,0.25,1.3,99.7,0.250329444444444
"23",2.3,0.25,1.3,98.7,0.250843888888889
"24",2.4,0.25,1.3,97.9,0.250012222222222
"25",2.5,0.25,1.3,98.5,0.249976666666667
"26",2.6,0.25,1.3,96.9,0.249608333333333
"27",2.7,0.25,1.3,95.7,0.250493333333333
"28",2.8,0.25,1.3,95.8,0.249525
"29",2.9,0.25,1.3,94.5,0.249641111111111
"30",3,0.25,1.3,92.8,0.249573888888889
"31",3.1,0.25,1.3,90.7,0.249728888888889
"32",3.2,0.25,1.3,89,0.249502222222222
"33",3.3,0.25,1.3,87.1,0.249531111111111
"34",3.4,0.25,1.3,87.1,0.250302222222222
"35",3.5,0.25,1.3,87.6,0.249892222222222
"36",3.6,0.25,1.3,82.4,0.250159444444444
"37",3.7,0.25,1.3,79.9,0.250186111111111
"38",3.8,0.25,1.3,80.7,0.249812777777778
"39",3.9,0.25,1.3,76.1,0.249941666666667
"40",4,0.25,1.3,77.6,0.250358333333333
"41",4.1,0.25,1.3,74.1,0.249292222222222
"42",4.2,0.25,1.3,74.1,0.250161111111111
"43",4.3,0.25,1.3,73.9,0.250009444444444
"44",4.4,0.25,1.3,70.3,0.250197222222222
"45",4.5,0.25,1.3,65.3,0.249318888888889
"46",4.6,0.25,1.3,65.6,0.249307222222222
"47",4.7,0.25,1.3,63.4,0.249755
"48",4.8,0.25,1.3,61.2,0.250258333333333
"49",4.9,0.25,1.3,58.4,0.250443888888889
"50",5,0.25,1.3,59.4,0.249996666666667
"51",5.1,0.25,1.3,54.6,0.249294444444444
"52",5.2,0.25,1.3,51.2,0.250003333333333
"53",5.3,0.25,1.3,52.6,0.250203888888889
"54",5.4,0.25,1.3,53.6,0.250009444444444
"55",5.5,0.25,1.3,49.6,0.250484444444444
"56",5.6,0.25,1.3,48.3,0.250424444444444
"57",5.7,0.25,1.3,47.7,0.250496111111111
"58",5.8,0.25,1.3,50.6,0.249771111111111
"59",5.9,0.25,1.3,46.2,0.250067777777778
"60",6,0.25,1.3,44.3,0.249808333333333
